State,County,Trump Percent, Harris Percent
Alabama,Autauga,72.4,26.3
Alabama,Baldwin,78.4,20.4
Alabama,Barbour,56.9,42.2
Alabama,Bibb,81.8,17.5
Alabama,Blount,90,9.1
Alabama,Bullock,26.8,72.6
Alabama,Butler,61,38.3
Alabama,Calhoun,71.8,27.1
Alabama,Chambers,61.2,37.9
Alabama,Cherokee,87.3,11.9
Alabama,Chilton,85.6,13.7
Alabama,Choctaw,61.6,37.8
Alabama,Clarke,58.2,41.2
Alabama,Clay,84.7,14.7
Alabama,Cleburne,91.3,7.9
Alabama,Coffee,78.4,20.6
Alabama,Colbert,72.6,26.3
Alabama,Conecuh,56.6,42.6
Alabama,Coosa,71.3,28.1
Alabama,Covington,85.9,13.5
Alabama,Crenshaw,77.1,22.5
Alabama,Cullman,89.7,9.4
Alabama,Dale,75.6,23.4
Alabama,Dallas,33.4,65.8
Alabama,DeKalb,86.4,12.7
Alabama,Elmore,75.4,23.5
Alabama,Escambia,72.8,26.5
Alabama,Etowah,77.3,21.7
Alabama,Fayette,85.5,13.6
Alabama,Franklin,86.1,13
Alabama,Geneva,88.1,11.2
Alabama,Greene,21.9,77.6
Alabama,Hale,46.1,53
Alabama,Henry,75,24.3
Alabama,Houston,73.2,25.6
Alabama,Jackson,85.2,13.9
Alabama,Jefferson,43.9,54.3
Alabama,Lamar,87.6,11.7
Alabama,Lauderdale,75,23.7
Alabama,Lawrence,80.8,18.5
Alabama,Lee,62.9,35.3
Alabama,Limestone,71,27.3
Alabama,Lowndes,31.1,68.4
Alabama,Macon,21.5,77.7
Alabama,Madison,53.4,44.4
Alabama,Marengo,51.6,47.8
Alabama,Marion,90.4,8.8
Alabama,Marshall,85.3,13.7
Alabama,Mobile,57.5,41.1
Alabama,Monroe,61.2,38.1
Alabama,Montgomery,33.9,64.5
Alabama,Morgan,75.5,23.1
Alabama,Perry,28.4,71.1
Alabama,Pickens,61.3,38
Alabama,Pike,62.1,37
Alabama,Randolph,82.1,17.3
Alabama,Russell,48.6,50.3
Alabama,Shelby,69.5,28.8
Alabama,St. Clair,81.6,17.6
Alabama,Sumter,29.1,70.2
Alabama,Talladega,66.3,33
Alabama,Tallapoosa,74.3,24.8
Alabama,Tuscaloosa,59.5,39.2
Alabama,Walker,85.5,13.8
Alabama,Washington,77.4,22.1
Alabama,Wilcox,34,65.5
Alabama,Winston,91.4,7.9
Alaska,ED01 Southeast Panhandle,56.7,39.2
Alaska,ED02 Central/North Panhandle,47.5,47.7
Alaska,ED03 Northeast Panhandle,40.5,55.2
Alaska,ED04 Greater Juneau,29.1,66.4
Alaska,ED05 Kodiak/Pr.William Sound,53.9,41.8
Alaska,ED06 South Kenai Peninsula,55.3,40.3
Alaska,ED07 Central Kenai Peninsula,70.5,26.2
Alaska,ED08 North/East Kenai Penin.,73.5,23.9
Alaska,ED09 Far South Anch Borough,47.9,48.9
Alaska,ED10 S-Central Anch Suburbs,50.2,46.1
Alaska,ED11 SE Anchorage Suburbs,50.1,46.6
Alaska,ED12 S-Central Anch Suburbs,48,48.7
Alaska,ED13 Central Anch Suburbs,48,48.1
Alaska,ED14 Midtown Anchorage,37.5,58.4
Alaska,ED15 SW Anchorage Suburbs,50.1,46.4
Alaska,ED16 West Anchorage Suburbs,40.8,55.1
Alaska,ED17 Downtown Anchorage,31.3,64.7
Alaska,ED18 NE Anchorage City,56,39.9
Alaska,ED19 North Anchorage City,39.7,55.8
Alaska,ED20 E-Central Anch City,41.9,53.9
Alaska,ED21 East Anchorage CIty,44.7,51.6
Alaska,ED22 NE Anchorage City,48,48.3
Alaska,ED23 North Anchorage Borough,57.5,38.2
Alaska,ED24 FarNorth Anchorage Boro,64.3,31.8
Alaska,ED25 Mat-Su - Palmer Area,65.9,30.4
Alaska,ED26 Mat-Su Valley South,75.6,21.3
Alaska,ED27 Mat-Su - Wasilla,76.6,20.4
Alaska,ED28 Mat-Su - East Wasilla,72.2,24
Alaska,ED29 Mat-Su Valley East,70.6,25.8
Alaska,ED30 Mat-Su - Parks Highway,70.8,26.4
Alaska,ED31 Downtown Fairbanks,49.6,46.2
Alaska,ED32 East Fairbanks,63.8,32.1
Alaska,ED33 North Pole Area,73.9,22.7
Alaska,ED34 E. Fairbanks Outskirts,58.3,37.5
Alaska,ED35 W. Fairbanks Outskirts,45.2,50.2
Alaska,ED36 Interior Alaska,58.8,36.8
Alaska,ED37 Bristol Bay/Aleutians,50.3,44.5
Alaska,ED38 Bering Coast,37,50.6
Alaska,ED39 Bering Straits,39.7,51.7
Alaska,ED40 Arctic,50.2,42.2
Arizona,Apache,40,58.9
Arizona,Cochise,61,37.8
Arizona,Coconino,39.3,59.2
Arizona,Gila,68.4,30.8
Arizona,Graham,73.6,25.5
Arizona,Greenlee,69.8,28.8
Arizona,La Paz,71.7,27.6
Arizona,Maricopa,51.2,47.7
Arizona,Mohave,77.6,21.8
Arizona,Navajo,58.1,40.9
Arizona,Pima,41.8,57
Arizona,Pinal,60.6,38.5
Arizona,Santa Cruz,40.3,58.9
Arizona,Yavapai,66.5,32.6
Arizona,Yuma,59.7,39.3
Arkansas,Arkansas County,71.2,27.1
Arkansas,Ashley,73.2,25.2
Arkansas,Baxter,77.6,20.7
Arkansas,Benton,62.1,35.2
